"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Aaron Jones (GB)","19","107","5.6","18","0","4","7","8","75","10.7","0","0","1","45.7","45.7","99.7%"
"2","Christian McCaffrey (CAR)","19","176","9.3","84","1","2","6","8","61","10.2","1","0","1","44.7","44.7","99.9%"
"3","Josh Jacobs (LV)","26","123","4.7","21","1","2","3","3","20","6.7","0","0","1","27.8","27.8","97.3%"
"4","Matt Breida (NYG)","11","114","10.4","83","1","1","3","3","15","5.0","1","0","1","26.4","26.4","1.7%"
"5","Dalvin Cook (MIN)","21","132","6.3","41","1","0","6","6","86","14.3","0","1","1","22.8","22.8","99.9%"
"6","Phillip Lindsay (IND)","15","114","7.6","32","2","1","4","4","33","8.3","0","0","1","22.7","22.7","1.3%"
"7","Leonard Fournette (TB)","23","108","4.7","48","1","1","4","7","29","7.3","0","0","1","21.7","21.7","99.8%"
"8","Sony Michel (MIA)","16","91","5.7","25","1","1","3","3","32","10.7","0","0","1","19.8","19.8","18.5%"
"9","Chris Carson (SEA)","27","118","4.4","14","0","0","1","2","5","5.0","1","0","1","18.8","18.8","13.7%"
"10","Todd Gurley II (FA)","15","51","3.4","12","0","2","3","5","6","2.0","0","1","1","17.2","17.2","0.2%"
"11","David Johnson (FA)","17","91","5.4","17","0","0","3","5","65","21.7","0","0","1","17.1","17.1","1.3%"
"12","Marlon Mack (HOU)","29","132","4.6","30","1","0","3","3","16","5.3","0","0","1","16.3","16.3","54.0%"
"13","Ezekiel Elliott (DAL)","12","62","5.2","14","0","1","2","3","29","14.5","0","0","1","16.1","16.1","97.6%"
"14","Chase Edmonds (MIA)","8","68","8.5","37","1","1","3","4","18","6.0","0","0","1","16.1","16.1","88.5%"
"15","Tevin Coleman (NYJ)","16","97","6.1","19","0","1","0","0","0","0","0","0","1","15.7","15.7","0.8%"
"16","Devonta Freeman (FA)","11","30","2.7","21","1","0","5","5","40","8.0","1","0","1","15.5","15.5","0.7%"
"17","Austin Ekeler (LAC)","3","7","2.3","4","0","0","15","16","86","5.7","0","1","1","14.8","14.8","99.9%"
"18","Reggie Bonnafon (WAS)","5","80","16.0","59","1","1","0","1","0","0","0","0","1","14.0","14.0","0.0%"
"19","Alvin Kamara (NO)","16","62","3.9","16","0","0","6","7","42","7.0","0","0","1","13.9","13.9","99.4%"
"20","Derrick Henry (TEN)","20","78","3.9","24","1","1","0","0","0","0","0","0","1","13.8","13.8","99.9%"
"21","Le'Veon Bell (FA)","15","43","2.9","13","0","0","7","9","45","6.4","0","0","1","12.3","12.3","0.2%"
"22","Jordan Howard (FA)","13","62","4.8","15","0","1","0","0","0","0","0","0","1","12.2","12.2","0.6%"
"23","Carlos Hyde (FA)","21","60","2.9","14","0","1","0","1","0","0","0","0","1","12.0","12.0","0.2%"
"24","Mark Ingram II (NO)","19","44","2.3","14","0","1","2","2","5","2.5","0","0","1","11.9","11.9","20.7%"
"25","James Conner (ARI)","14","55","3.9","12","0","1","0","0","0","0","0","0","1","11.5","11.5","98.6%"
"26","Joe Mixon (CIN)","19","93","4.9","18","0","0","1","1","16","16.0","0","0","1","11.4","11.4","99.9%"
"27","DeAndre Washington (FA)","6","17","2.8","5","0","1","3","3","19","6.3","0","0","1","11.1","11.1","11.0%"
"28","Brandon Bolden (LV)","5","13","2.6","5","0","0","1","1","29","29.0","1","0","1","10.7","10.7","0.7%"
"29","Nick Chubb (CLE)","16","87","5.4","37","1","0","1","1","12","12.0","0","0","1","10.4","10.4","99.6%"
"30","James White (NE)","6","26","4.3","7","0","0","6","9","46","7.7","0","0","1","10.2","10.2","10.1%"
"31","David Montgomery (CHI)","11","25","2.3","6","0","1","1","1","11","11.0","0","0","1","10.1","10.1","98.0%"
"32","Peyton Barber (FA)","8","32","4.0","8","0","1","1","1","-1","-1.0","0","0","1","9.6","9.6","0.6%"
"33","Ito Smith (FA)","5","19","3.8","11","0","0","6","6","45","7.5","0","0","1","9.4","9.4","0.0%"
"34","Miles Sanders (PHI)","9","15","1.7","8","0","0","4","5","49","12.3","0","0","1","8.4","8.4","92.6%"
"35","Tarik Cohen (FA)","4","10","2.5","4","0","0","6","7","39","6.5","0","0","1","7.9","7.9","0.6%"
"36","Frank Gore (FA)","14","60","4.3","19","0","0","2","2","9","4.5","0","0","1","7.9","7.9","12.1%"
"37","Royce Freeman (HOU)","13","61","4.7","11","0","0","2","2","6","3.0","0","0","1","7.7","7.7","0.3%"
"38","Duke Johnson Jr. (BUF)","9","59","6.6","24","1","0","1","1","8","8.0","0","0","1","7.2","7.2","0.9%"
"39","Ronald Jones II (KC)","9","35","3.9","14","0","0","2","3","21","10.5","0","0","1","6.6","6.6","80.1%"
"40","Nyheim Hines (IND)","2","-1","-0.5","3","0","0","4","5","46","11.5","0","0","1","6.5","6.5","51.0%"
"41","Chris Thompson (FA)","4","21","5.3","12","0","0","5","7","17","3.4","0","0","1","6.3","6.3","0.0%"
"42","Rashaad Penny (SEA)","6","18","3.0","8","0","0","2","2","31","15.5","0","0","1","5.9","5.9","89.3%"
"43","Melvin Gordon III (DEN)","12","31","2.6","7","0","0","4","6","7","1.8","0","0","1","5.8","5.8","88.2%"
"44","Damien Williams (ATL)","9","23","2.6","6","0","0","3","4","15","5.0","0","0","1","5.3","5.3","2.0%"
"45","Alexander Mattison (MIN)","7","52","7.4","19","0","0","0","0","0","0","0","0","1","5.2","5.2","56.5%"
"46","Tra Carson (FA)","6","14","2.3","7","0","0","4","4","18","4.5","0","0","1","5.2","5.2","0.0%"
"47","T.J. Yeldon (FA)","2","15","7.5","11","0","0","4","4","13","3.3","0","0","1","4.8","4.8","0.0%"
"48","Latavius Murray (FA)","7","28","4.0","12","0","0","2","2","6","3.0","0","0","1","4.4","4.4","0.7%"
"49","Jalen Richard (FA)","2","14","7.0","9","0","0","2","2","18","9.0","0","0","1","4.2","4.2","0.6%"
"50","Giovani Bernard (TB)","2","10","5.0","9","0","0","3","3","16","5.3","0","0","1","4.1","4.1","0.9%"
"51","Dion Lewis (FA)","2","11","5.5","9","0","0","2","4","19","9.5","0","0","1","4.0","4.0","2.0%"
"52","Raheem Mostert (MIA)","7","34","4.9","8","0","0","0","0","0","0","0","0","1","3.4","3.4","48.5%"
"53","Dare Ogunbowale (HOU)","1","-4","-4.0","0","0","0","2","3","27","13.5","0","0","1","3.3","3.3","0.4%"
"54","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","3","20","10.0","0","0","1","3.0","3.0","0.8%"
"55","Jon Hilliman (FA)","9","20","2.2","6","0","0","1","2","4","4.0","0","0","1","2.9","2.9","0.0%"
"56","Elijhaa Penny (FA)","3","15","5.0","6","0","0","1","1","9","9.0","0","0","1","2.9","2.9","0.0%"
"57","Jordan Wilkins (TEN)","7","28","4.0","10","0","0","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"58","Gus Edwards (BAL)","5","17","3.4","7","0","0","1","1","6","6.0","0","0","1","2.8","2.8","28.5%"
"59","Wendell Smallwood (FA)","6","27","4.5","12","0","0","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"60","Ameer Abdullah (LV)","3","24","8.0","15","0","0","0","0","0","0","0","0","1","2.4","2.4","0.8%"
"61","Jaylen Samuels (FA)","3","2","0.7","6","0","0","3","4","11","3.7","0","0","1","2.0","2.0","0.1%"
"62","Tony Pollard (DAL)","4","19","4.8","7","0","0","0","0","0","0","0","0","1","1.9","1.9","90.7%"
"63","Adrian Peterson (FA)","7","18","2.6","7","0","0","0","0","0","0","0","0","1","1.8","1.8","2.1%"
"64","Wayne Gallman Jr. (FA)","2","14","7.0","11","0","0","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"65","Danny Vitale (FA)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.4","1.4","0.0%"
"66","LeSean McCoy (FA)","0","0","0","0","0","0","2","2","23","11.5","0","1","1","1.3","1.3","2.0%"
"67","Derek Watt (PIT)","0","0","0","0","0","0","1","1","8","8.0","0","0","1","1.3","1.3","0.2%"
"68","D'Ernest Johnson (CLE)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","1.1","1.1","4.3%"
"69","Ryquell Armstead (JAC)","1","-1","-1.0","0","0","0","1","1","7","7.0","0","0","1","1.1","1.1","0.1%"
"70","Jakob Johnson (LV)","0","0","0","0","0","0","1","2","5","5.0","0","0","1","1.0","1.0","0.1%"
"71","Alex Armah Jr. (WAS)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.9","0.9","0.0%"
"72","Justice Hill (BAL)","2","7","3.5","4","0","0","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"73","Darren Sproles (FA)","3","4","1.3","5","0","0","0","1","0","0","0","0","1","0.4","0.4","0.1%"
"74","Bilal Powell (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"75","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","-1","-1.0","0","0","1","0.4","0.4","0.1%"
"76","Malcolm Brown (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"77","Alec Ingold (MIA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"78","Anthony Sherman (FA)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","0.0%"
"79","Ty Montgomery (NE)","2","1","0.5","4","0","0","0","0","0","0","0","0","1","0.1","0.1","0.1%"
"80","Demetric Felton Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"81","CJ Verdell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Mekhi Sargent (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Raheem Blackshear (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Deon Jackson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"85","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Jaret Patterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"88","Jonathan Ward (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"89","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Antonio Williams (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"91","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.6%"
"92","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3%"
"94","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"96","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"98","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
