"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","27","36","75.0","320","8.9","4","0","0","4","35","0","0","1","32.3","32.3","99.9%"
"2","Tom Brady (TB)","22","27","81.5","348","12.9","4","0","1","0","0","0","0","1","29.9","29.9","97.1%"
"3","Andy Dalton (NO)","22","30","73.3","377","12.6","3","1","2","5","15","0","0","1","27.6","27.6","0.7%"
"4","Deshaun Watson (CLE)","24","33","72.7","324","9.8","3","0","1","5","38","0","1","1","26.8","26.8","71.2%"
"5","Aaron Rodgers (GB)","21","25","84.0","231","9.2","4","1","1","3","19","0","0","1","26.1","26.1","94.6%"
"6","Ben Roethlisberger (FA)","34","49","69.4","341","7.0","3","0","1","2","-1","0","0","1","25.5","25.5","13.6%"
"7","Mitchell Trubisky (PIT)","24","35","68.6","265","7.6","2","1","1","2","10","1","0","1","24.6","24.6","5.2%"
"8","Kirk Cousins (MIN)","27","41","65.9","291","7.1","3","0","2","0","0","0","0","1","23.6","23.6","74.4%"
"9","Derek Carr (LV)","21","34","61.8","336","9.9","1","0","3","2","-2","1","0","1","23.2","23.2","89.4%"
"10","Brandon Allen (CIN)","29","37","78.4","371","10.0","2","0","0","2","3","0","0","1","23.1","23.1","0.2%"
"11","Lamar Jackson (BAL)","17","26","65.4","183","7.0","2","0","0","13","80","0","1","1","21.3","21.3","98.9%"
"12","Jalen Hurts (PHI)","21","39","53.8","342","8.8","1","2","3","9","69","0","1","1","20.6","20.6","96.3%"
"13","Patrick Mahomes II (KC)","24","44","54.5","278","6.3","2","1","0","3","21","0","0","1","20.2","20.2","99.9%"
"14","Matt Ryan (IND)","27","35","77.1","300","8.6","2","0","4","1","-1","0","0","1","19.9","19.9","42.8%"
"15","Russell Wilson (DEN)","20","32","62.5","225","7.0","1","0","5","3","9","1","0","1","19.9","19.9","94.6%"
"16","C.J. Beathard (JAC)","13","22","59.1","182","8.3","3","0","3","3","18","0","1","1","19.1","19.1","0.1%"
"17","Ryan Tannehill (TEN)","11","24","45.8","121","5.0","1","2","2","3","55","1","0","1","18.3","18.3","26.2%"
"18","Sam Darnold (CAR)","16","32","50.0","175","5.5","2","0","2","7","20","0","0","1","17.0","17.0","3.7%"
"19","Justin Herbert (LAC)","21","33","63.6","253","7.7","1","0","2","4","26","0","0","1","16.7","16.7","99.8%"
"20","Kyler Murray (ARI)","31","50","62.0","247","4.9","0","1","3","8","75","0","0","1","16.4","16.4","97.3%"
"21","Drew Lock (SEA)","24","47","51.1","264","5.6","0","2","2","5","15","1","0","1","16.1","16.1","3.4%"
"22","Blaine Gabbert (TB)","9","15","60.0","143","9.5","2","0","1","2","15","0","0","1","15.2","15.2","0.1%"
"23","Mike Glennon (FA)","24","37","64.9","211","5.7","2","2","1","0","0","0","0","1","14.4","14.4","0.6%"
"24","Daniel Jones (NYG)","24","41","58.5","252","6.1","1","0","6","1","3","0","0","1","14.4","14.4","19.4%"
"25","Philip Rivers (FA)","21","34","61.8","270","7.9","1","1","5","0","0","0","1","1","11.8","11.8","20.6%"
"26","Taylor Heinicke (WAS)","12","19","63.2","137","7.2","1","0","1","3","22","0","0","1","11.7","11.7","1.3%"
"27","Ryan Fitzpatrick (FA)","9","13","69.2","182","14.0","1","0","0","0","0","0","0","1","11.3","11.3","0.1%"
"28","Jared Goff (DET)","24","43","55.8","234","5.4","0","1","3","7","23","0","0","1","10.7","10.7","16.4%"
"29","Taysom Hill (NO)","2","2","100.0","8","4.0","0","0","0","5","18","1","0","1","10.5","10.5","2.4%"
"30","Drew Brees (FA)","19","26","73.1","311","12.0","0","2","0","3","-3","0","0","1","10.1","10.1","35.7%"
"31","Cam Newton (FA)","5","10","50.0","34","3.4","0","0","2","4","24","1","0","1","9.8","9.8","9.3%"
"32","Teddy Bridgewater (MIA)","19","28","67.9","197","7.0","1","1","4","6","7","0","1","1","9.6","9.6","1.9%"
