"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Richie James Jr. (NYG)","9","13","184","20.4","47","0","1","0","0","0","0","1","28.9","28.9","0.1%"
"2","Tyreek Hill (MIA)","9","18","113","12.6","28","0","2","1","8","0","0","1","28.6","28.6","99.9%"
"3","Davante Adams (LV)","10","12","173","17.3","49","0","1","0","0","0","0","1","28.3","28.3","99.9%"
"4","Breshad Perriman (TB)","5","7","101","20.2","50","0","2","0","0","0","0","1","24.6","24.6","0.6%"
"5","DJ Chark Jr. (DET)","7","12","146","20.9","73","0","1","0","0","0","0","1","24.1","24.1","28.6%"
"6","Jakobi Meyers (NE)","12","14","169","14.1","33","0","0","0","0","0","0","1","22.9","22.9","65.2%"
"7","Curtis Samuel (WAS)","9","9","105","11.7","28","0","1","3","13","0","0","1","22.3","22.3","7.3%"
"8","Jerry Jeudy (DEN)","7","14","125","17.9","41","0","1","0","0","0","0","1","22.0","22.0","93.8%"
"9","Terry McLaurin (WAS)","7","8","115","16.4","68","0","1","0","0","0","0","1","21.0","21.0","98.0%"
"10","Keenan Allen (LAC)","9","11","103","11.4","27","0","1","0","0","0","0","1","20.8","20.8","99.7%"
"11","Christian Kirk (JAC)","5","8","123","24.6","56","0","1","0","0","0","0","1","20.8","20.8","78.1%"
"12","DK Metcalf (SEA)","7","9","108","15.4","41","0","1","0","0","0","0","1","20.3","20.3","97.4%"
"13","William Fuller V (FA)","5","5","100","20.0","77","0","1","0","0","0","0","1","18.5","18.5","4.4%"
"14","JuJu Smith-Schuster (KC)","6","7","93","15.5","31","0","1","0","0","0","0","1","18.3","18.3","92.9%"
"15","Marquez Valdes-Scantling (KC)","2","4","53","26.5","52","0","2","0","0","0","0","1","18.3","18.3","56.8%"
"16","Olamide Zaccheaus (ATL)","4","6","103","25.8","51","0","1","0","0","0","0","1","18.3","18.3","0.8%"
"17","A.J. Brown (PHI)","4","9","101","25.3","40","0","1","0","0","0","0","1","18.1","18.1","99.7%"
"18","Stefon Diggs (BUF)","9","12","118","13.1","25","0","0","0","0","0","0","1","16.3","16.3","99.9%"
"19","Brandin Cooks (HOU)","3","9","83","27.7","57","0","1","0","0","0","0","1","15.8","15.8","94.1%"
"20","David Moore (CHI)","4","6","71","17.8","55","0","1","0","0","0","0","1","15.1","15.1","0.0%"
"21","Gabriel Davis (BUF)","4","5","70","17.5","39","0","1","0","0","0","0","1","15.0","15.0","91.3%"
"22","Preston Williams (MIA)","4","5","60","15.0","35","0","1","0","0","0","0","1","14.0","14.0","0.2%"
"23","Julio Jones (FA)","5","7","54","10.8","21","0","1","0","0","0","0","1","13.9","13.9","12.7%"
"24","John Brown (FA)","8","11","99","12.4","33","0","0","0","0","0","0","1","13.9","13.9","1.1%"
"25","CeeDee Lamb (DAL)","4","7","71","17.8","32","0","1","0","0","0","1","1","13.1","13.1","99.8%"
"26","Cam Sims (WAS)","3","4","110","36.7","45","0","0","0","0","0","0","1","12.5","12.5","0.1%"
"27","Nelson Agholor (NE)","2","3","55","27.5","45","0","1","0","0","0","0","1","12.5","12.5","2.0%"
"28","KJ Hamler (DEN)","6","10","75","12.5","36","0","0","1","15","0","0","1","12.0","12.0","2.1%"
"29","Emmanuel Sanders (BUF)","4","5","38","9.5","12","0","1","0","0","0","0","1","11.8","11.8","1.3%"
"30","Marvin Jones Jr. (JAC)","3","4","43","14.3","16","0","1","0","0","0","0","1","11.8","11.8","21.3%"
"31","Allen Robinson II (LAR)","7","9","81","11.6","27","0","0","0","0","0","0","1","11.6","11.6","91.9%"
"32","Danny Amendola (FA)","7","10","77","11.0","28","0","0","1","2","0","0","1","11.4","11.4","0.1%"
"33","Chase Claypool (PIT)","8","13","69","8.6","14","0","0","1","4","0","0","1","11.3","11.3","84.5%"
"34","Diontae Johnson (PIT)","6","10","77","12.8","42","0","0","1","4","0","0","1","11.1","11.1","97.8%"
"35","Tim Patrick (DEN)","4","9","29","7.3","9","0","1","0","0","0","0","1","10.9","10.9","28.2%"
"36","Robbie Anderson (CAR)","9","13","63","7.0","22","0","0","0","0","0","0","1","10.8","10.8","14.6%"
"37","Mike Williams (LAC)","5","7","81","16.2","23","0","0","0","0","0","0","1","10.6","10.6","96.0%"
"38","Amari Cooper (CLE)","5","6","67","13.4","32","0","0","1","8","0","0","1","10.0","10.0","95.7%"
"39","Jamison Crowder (BUF)","2","2","26","13.0","20","0","1","0","0","0","0","1","9.6","9.6","21.1%"
"40","DeVante Parker (NE)","6","7","64","10.7","17","0","0","0","0","0","0","1","9.4","9.4","35.6%"
"41","Austin Mack (SF)","4","5","72","18.0","50","0","0","0","0","0","0","1","9.2","9.2","0.0%"
"42","Isaiah McKenzie (BUF)","1","1","25","25.0","25","0","1","1","1","0","0","1","9.1","9.1","2.4%"
"43","Damiere Byrd (ATL)","5","9","65","13.0","31","0","0","0","0","0","0","1","9.0","9.0","0.1%"
"44","Demarcus Robinson (LV)","3","3","34","11.3","28","0","1","0","0","0","1","1","8.9","8.9","0.8%"
"45","Chris Conley (HOU)","7","8","52","7.4","21","0","0","0","0","0","0","1","8.7","8.7","0.4%"
"46","Sterling Shepard (NYG)","6","8","39","6.5","21","0","0","1","18","0","0","1","8.7","8.7","5.0%"
