"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","8","8","90","11.3","20","0","2","0","0","0","0","1","25.0","25.0","57.1%"
"2","Travis Kelce (KC)","6","7","76","12.7","19","0","2","0","0","0","0","1","22.6","22.6","99.9%"
"3","T.J. Hockenson (DET)","8","11","97","12.1","23","0","1","0","0","0","0","1","21.7","21.7","95.7%"
"4","Darren Waller (LV)","10","19","105","10.5","24","0","1","0","0","0","0","1","21.5","21.5","99.0%"
"5","Juwan Johnson (NO)","3","3","21","7.0","12","0","2","0","0","0","0","1","15.6","15.6","0.1%"
"6","Dallas Goedert (PHI)","4","5","42","10.5","13","0","1","0","0","0","0","1","12.2","12.2","94.3%"
"7","Logan Thomas (WAS)","3","3","30","10.0","12","0","1","0","0","0","0","1","10.5","10.5","35.9%"
"8","George Kittle (SF)","4","5","78","19.5","35","0","0","0","0","0","0","1","9.8","9.8","99.1%"
"9","Tyler Higbee (LAR)","5","6","68","13.6","37","0","0","0","0","0","0","1","9.3","9.3","41.2%"
"10","Noah Fant (SEA)","6","8","62","10.3","25","0","0","0","0","0","0","1","9.2","9.2","74.4%"
"11","David Njoku (CLE)","3","5","76","25.3","43","0","0","0","0","0","0","1","9.1","9.1","51.4%"
"12","Gerald Everett (LAC)","2","2","20","10.0","11","0","1","0","0","0","0","1","9.0","9.0","21.0%"
"13","Pharaoh Brown (HOU)","4","5","67","16.8","29","0","0","0","0","0","0","1","8.7","8.7","0.1%"
"14","Chris Manhertz (JAC)","1","1","22","22.0","22","0","1","0","0","0","0","1","8.7","8.7","0.0%"
"15","Jared Cook (FA)","5","8","56","11.2","23","0","0","0","0","0","0","1","8.1","8.1","1.3%"
"16","James O'Shaughnessy (CHI)","6","8","48","8.0","22","0","0","0","0","0","0","1","7.8","7.8","0.2%"
"17","Dalton Schultz (DAL)","6","6","45","7.5","16","0","0","0","0","0","0","1","7.5","7.5","96.5%"
"18","Jonnu Smith (NE)","5","5","42","8.4","11","0","0","1","6","0","0","1","7.3","7.3","2.7%"
"19","Albert Okwuegbunam (DEN)","3","3","16","5.3","6","0","1","0","0","0","1","1","7.1","7.1","46.6%"
"20","Cole Kmet (CHI)","5","7","42","8.4","10","0","0","0","0","0","0","1","6.7","6.7","54.4%"
"21","Dawson Knox (BUF)","4","4","41","10.3","13","0","0","0","0","0","0","1","6.1","6.1","90.3%"
"22","Tyler Conklin (NYJ)","4","4","41","10.3","27","0","0","0","0","0","0","1","6.1","6.1","1.9%"
